CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,CITY,STATE,CUSTOMER_SEGMENT,RECENCY_DAYS,FREQUENCY,MONETARY_VALUE,FIRST_ORDER_DATE,LAST_ORDER_DATE,RECENCY_SCORE,FREQUENCY_SCORE,MONETARY_SCORE,RFM_SCORE,RFM_TOTAL_SCORE,CLUSTER_ID,SEGMENT_NAME
C008478,Kevin,Thompson,elizabeth87@example.org,Mumbai,Maharashtra,Budget,11,10,1035385.05,2025-08-16 22:52:18.295382,2026-08-02 13:22:26.017460,4,3,4,434,11,0,Loyal Customers
C008042,Stephen,Frey,jonathancollier@example.com,Mumbai,Maharashtra,Regular,24,8,507090.85,2025-08-17 07:27:23.884438,2026-07-20 07:12:27.043470,3,2,1,321,6,1,At Risk
C005137,Scott,Harris,vbradshaw@example.org,Lucknow,Uttar Pradesh,Regular,30,15,547599.75,2025-08-17 12:00:42.768427,2026-07-14 09:59:41.639816,3,5,2,352,10,1,At Risk
C002033,Deborah,Baker,williamwalker@example.org,Jaipur,Rajasthan,Regular,14,14,1080184.1,2025-08-17 20:25:17.631176,2026-07-30 02:30:12.474124,4,5,5,455,14,3,Loyal Customers
C005234,Becky,Diaz,seanthompson@example.net,Chennai,Tamil Nadu,Budget,60,7,665180.7,2025-08-18 04:39:21.767617,2026-06-14 20:20:24.732247,1,1,2,112,4,1,At Risk
C002383,Karen,Foster,clintonhaley@example.org,Bhubaneswar,Odisha,Regular,59,14,1013007.85,2025-08-18 09:12:40.651606,2026-06-15 16:18:47.531275,2,5,4,254,11,3,Loyal Customers
C006541,Marvin,Parks,kristenvillarreal@example.org,Kolkata,West Bengal,Budget,29,12,872454.45,2025-08-18 12:11:22.998829,2026-07-15 02:22:34.549545,3,4,4,344,11,3,Loyal Customers
C002947,Stacy,Lucas,steelejames@example.org,Chennai,Tamil Nadu,Budget,11,13,866655.0,2025-08-18 16:18:25.067050,2026-08-02 02:56:57.802178,4,4,4,444,12,3,Loyal Customers
C007834,Sonya,Johnson,charles22@example.com,Kolkata,West Bengal,Regular,143,10,527176.65,2025-08-18 20:20:11.772117,2026-03-23 15:44:27.734677,1,3,2,132,6,1,At Risk
C009632,Mary,Campbell,dandrade@example.net,Jaipur,Rajasthan,Premium,27,14,810523.5,2025-08-18 22:00:03.672036,2026-07-17 18:03:43.562235,3,5,3,353,11,3,Loyal Customers
C007639,Daniel,Graham,stevenwalter@example.net,Bhubaneswar,Odisha,Regular,16,8,900714.15,2025-08-20 19:43:43.238232,2026-07-28 18:21:14.196741,4,2,4,424,10,1,At Risk
C001170,Kevin,Phelps,deborah67@example.org,Jaipur,Rajasthan,Regular,17,11,679676.7,2025-08-21 16:34:39.668796,2026-07-27 08:21:53.293132,4,3,2,432,9,1,At Risk
C001378,Virginia,Mccormick,melissa54@example.com,Lucknow,Uttar Pradesh,Budget,28,7,500318.65,2025-08-22 18:25:11.799117,2026-07-16 17:47:47.968679,3,1,1,311,5,2,At Risk
C009778,Adam,Smith,william65@example.net,Lucknow,Uttar Pradesh,Premium,13,11,732291.75,2025-08-20 05:37:29.770497,2026-07-31 00:55:45.441454,4,3,3,433,10,0,Loyal Customers
C005483,Sean,Hunter,bjohnson@example.org,Bhubaneswar,Odisha,Regular,36,7,724986.35,2025-08-23 05:16:56.830168,2026-07-08 08:34:38.804788,2,1,3,213,6,1,At Risk
C006629,Christopher,Mcfarland,rayrivera@example.com,Chennai,Tamil Nadu,Budget,53,16,1326905.45,2025-08-23 18:20:05.940059,2026-06-21 01:57:44.998649,2,5,5,255,12,3,Loyal Customers
C004762,Walter,Brown,vperry@example.com,Bangalore,Karnataka,Regular,20,13,892288.95,2025-08-24 00:54:18.176581,2026-07-24 07:49:52.601926,3,4,4,344,11,3,Loyal Customers
C004729,Brian,Powell,daniellewagner@example.com,Lucknow,Uttar Pradesh,Regular,108,14,717978.05,2025-08-24 15:47:49.912699,2026-04-27 20:02:17.809378,1,5,3,153,9,1,At Risk
C009890,Mario,Moore,chadbaldwin@example.com,Bhubaneswar,Odisha,Regular,41,5,500422.4,2025-08-25 01:04:58.406984,2026-07-03 16:58:26.147061,2,1,1,211,4,2,At Risk
C002766,Jennifer,Garner,davidcalderon@example.org,Bhubaneswar,Odisha,Budget,136,7,688894.35,2025-08-25 15:26:57.964179,2026-03-30 17:30:41.526415,1,1,3,113,5,1,At Risk
C008346,Jessica,Pace,crystalchan@example.com,Hyderabad,Telangana,Budget,8,14,1366293.75,2025-08-25 16:14:16.232562,2026-08-05 18:17:14.866348,5,5,5,555,15,3,Loyal Customers
C007353,Jesse,Thomas,schneiderchristina@example.net,Delhi,Delhi,Budget,5,11,796147.65,2025-08-25 22:32:42.379623,2026-08-08 18:07:12.652326,5,3,3,533,11,0,Loyal Customers
C003163,Lori,Ali,fbrown@example.com,Mumbai,Maharashtra,Regular,24,15,1717715.5,2025-08-23 23:35:27.729277,2026-07-20 09:02:49.669696,3,5,5,355,13,3,Loyal Customers
C009742,James,Mcdonald,okelly@example.com,Bhubaneswar,Odisha,Premium,3,10,499760.55,2025-08-26 10:48:33.221132,2026-08-10 03:35:01.377013,5,3,1,531,9,0,Loyal Customers
C000147,Amber,James,myersjoshua@example.com,Pune,Maharashtra,Regular,6,12,1229415.3,2025-08-27 07:13:12.835928,2026-08-07 15:39:52.979929,5,4,5,545,14,3,Loyal Customers
C001446,Lisa,Webster,lestermark@example.com,Pune,Maharashtra,Budget,15,11,1085389.6,2025-08-28 22:06:54.076140,2026-07-29 02:45:49.059490,4,3,5,435,12,3,Loyal Customers
C007412,Christina,Adams,jennifermcguire@example.com,Delhi,Delhi,Budget,18,7,635639.5,2025-08-29 09:19:40.559805,2026-07-26 09:45:49.599495,4,1,2,412,7,1,At Risk
C007679,Stephen,Prince,ydavis@example.org,Mumbai,Maharashtra,Regular,36,10,513831.9,2025-08-29 03:22:15.865358,2026-07-08 23:01:53.725137,2,3,2,232,7,1,At Risk
C005738,Jacqueline,Ray,whitemarissa@example.com,Bhubaneswar,Odisha,Regular,18,13,1148808.7,2025-08-30 06:42:09.169291,2026-07-26 22:43:43.346233,4,4,5,445,13,3,Loyal Customers
C004676,Jill,Adams,dbowman@example.com,Hyderabad,Telangana,Regular,47,13,1340484.7,2025-08-18 02:12:11.599315,2026-06-27 12:03:08.785887,2,4,5,245,11,3,Loyal Customers
C001193,Darius,Anderson,conniegarcia@example.org,Bhubaneswar,Odisha,Regular,77,14,884872.0,2025-08-31 21:20:04.320043,2026-05-28 19:51:26.346863,1,5,4,154,10,3,Loyal Customers
C004535,Jason,Copeland,danielwelch@example.net,Jaipur,Rajasthan,Budget,60,9,708863.75,2025-09-01 16:46:54.940149,2026-06-14 07:01:29.532895,1,2,3,123,6,1,At Risk
C008168,Veronica,George,burgessamy@example.net,Chennai,Tamil Nadu,Regular,48,9,778199.8,2025-09-04 05:50:23.058230,2026-06-26 17:44:37.886778,2,2,3,223,7,1,At Risk
C004754,Matthew,Rivera,spencercarly@example.net,Delhi,Delhi,Budget,13,14,1169022.15,2025-09-05 05:03:14.293942,2026-07-31 11:58:01.198811,4,5,5,455,14,3,Loyal Customers
C006241,Michael,Roberts,jamesle@example.org,Jaipur,Rajasthan,Regular,10,15,1175247.95,2025-09-02 23:58:04.222842,2026-08-03 08:22:59.821798,4,5,5,455,14,3,Loyal Customers
C004959,Samantha,Reese,andrew09@example.net,Chennai,Tamil Nadu,Premium,89,11,597140.75,2025-08-25 08:47:30.364503,2026-05-16 23:25:02.187021,1,3,2,132,6,1,At Risk
C009309,Courtney,Hooper,brooksbradley@example.com,Pune,Maharashtra,Regular,50,13,696629.0,2025-09-10 08:39:31.703717,2026-06-24 23:41:43.573035,2,4,3,243,9,1,At Risk
C006702,Brandon,Meyer,rittercharles@example.org,Kolkata,West Bengal,Regular,25,13,712288.15,2025-08-22 18:30:27.162271,2026-07-19 18:09:17.933579,3,4,3,343,10,3,Loyal Customers
C000318,Christine,Hawkins,joseph08@example.net,Kolkata,West Bengal,Regular,90,8,674568.0,2025-08-18 04:49:52.493924,2026-05-15 07:12:30.499504,1,2,2,122,5,1,At Risk
C009058,Benjamin,Lowery,sjones@example.org,Bangalore,Karnataka,Budget,11,7,613261.9,2025-09-04 09:41:39.036990,2026-08-02 08:38:36.407164,4,1,2,412,7,0,Loyal Customers
C003633,Mary,Dominguez,rothxavier@example.org,Kolkata,West Bengal,Regular,60,8,756508.55,2025-09-11 21:42:50.317703,2026-06-14 16:50:10.206102,1,2,3,123,6,1,At Risk
C002769,Phyllis,Hendricks,ronalderickson@example.org,Bangalore,Karnataka,Regular,76,12,445439.65,2025-08-17 05:26:30.531905,2026-05-29 18:11:43.951039,1,4,1,141,6,1,At Risk
C009090,Steven,Hoover,matthewhernandez@example.com,Bangalore,Karnataka,Regular,11,16,835656.15,2025-09-05 07:56:41.278012,2026-08-02 07:25:01.323013,4,5,3,453,12,3,Loyal Customers
C001075,Jacqueline,Daniels,william48@example.net,Bangalore,Karnataka,Premium,49,17,1124389.05,2025-09-06 20:38:58.439384,2026-06-25 07:08:29.441094,2,5,5,255,12,3,Loyal Customers
C009618,Gregory,Hernandez,albert40@example.org,Kolkata,West Bengal,Regular,81,11,1154268.6,2025-09-16 22:25:40.743407,2026-05-24 08:06:29.667896,1,3,5,135,9,1,At Risk
C007219,Emily,Palmer,bill17@example.org,Lucknow,Uttar Pradesh,Budget,7,16,1344701.5,2025-08-17 01:24:43.826838,2026-08-06 20:49:49.901899,5,5,5,555,15,3,Loyal Customers
C001452,James,Bean,dyervictoria@example.net,Bangalore,Karnataka,Budget,10,10,819053.45,2025-09-24 11:29:56.381963,2026-08-03 01:48:47.585275,4,3,3,433,10,0,Loyal Customers
C009614,Donald,Parker,nhall@example.net,Mumbai,Maharashtra,Premium,27,9,926602.6,2025-09-25 16:45:27.675276,2026-07-17 22:58:03.898838,3,2,4,324,9,1,At Risk
C002712,Sarah,Bean,erinreid@example.com,Bangalore,Karnataka,Regular,12,16,807233.45,2025-08-17 10:26:06.231662,2026-08-01 13:53:48.692286,4,5,3,453,12,3,Loyal Customers
C006432,Crystal,Perez,nicholas69@example.org,Bangalore,Karnataka,Regular,19,7,480523.85,2025-09-16 16:23:00.685806,2026-07-25 05:54:24.116641,4,1,1,411,6,2,At Risk
C000794,Michelle,Christensen,heidi08@example.com,Bhubaneswar,Odisha,Budget,17,11,878941.7,2025-08-16 14:38:14.158941,2026-07-27 18:21:04.692646,4,3,4,434,11,3,Loyal Customers
C005084,Scott,Miller,qgarza@example.net,Kolkata,West Bengal,Regular,37,13,976317.25,2025-08-16 23:29:05.837458,2026-07-07 06:23:05.221852,2,4,4,244,10,3,Loyal Customers
C008817,Christina,Patel,danielhuynh@example.net,Mumbai,Maharashtra,Regular,96,6,459722.8,2025-10-01 23:15:21.573215,2026-05-09 20:25:13.311133,1,1,1,111,3,2,At Risk
C000387,David,Moyer,courtney87@example.com,Bangalore,Karnataka,Regular,17,17,1718572.8,2025-08-23 10:48:04.708847,2026-07-27 13:26:44.356043,4,5,5,455,14,3,Loyal Customers
C007742,Mary,Moore,stuartkhan@example.net,Kolkata,West Bengal,Regular,55,10,825748.15,2025-09-13 19:00:13.068130,2026-06-19 08:42:08.953289,2,3,3,233,8,1,At Risk
C006192,James,Shaw,josephhunter@example.org,Bangalore,Karnataka,Budget,43,10,872819.25,2025-09-02 02:46:06.339663,2026-07-01 10:02:53.449734,2,3,4,234,9,1,At Risk
C003042,Caroline,Craig,jeffreymorales@example.com,Lucknow,Uttar Pradesh,Budget,8,12,732106.75,2025-08-18 20:51:43.951039,2026-08-05 14:10:12.798127,5,4,3,543,12,0,Loyal Customers
C009145,Paul,Watson,martinezlee@example.net,Delhi,Delhi,Premium,37,6,646568.8,2025-10-21 08:40:46.008460,2026-07-07 08:08:12.484924,2,1,2,212,5,1,At Risk
C007485,Melissa,Woodward,brandon02@example.com,Bhubaneswar,Odisha,Budget,21,8,456283.45,2025-11-09 13:38:06.922869,2026-07-23 11:14:42.260822,3,2,1,321,6,1,At Risk
C001267,William,Morrison,vsandoval@example.com,Bangalore,Karnataka,Budget,35,9,597756.35,2025-08-19 00:00:57.024570,2026-07-09 12:52:21.103411,2,2,2,222,6,1,At Risk
C002959,Kurt,Brown,erin85@example.org,Chennai,Tamil Nadu,Regular,1,7,795553.3,2025-08-19 03:52:13.003330,2026-08-12 03:56:21.837818,5,1,3,513,9,0,Loyal Customers
C006258,Heather,Blair,jeffreyfigueroa@example.net,Kolkata,West Bengal,Regular,12,12,1164878.9,2025-08-19 13:19:52.223922,2026-08-01 15:17:54.502745,4,4,5,445,13,3,Loyal Customers
C009765,Robert,West,christine22@example.org,Chennai,Tamil Nadu,Regular,38,12,795597.5,2025-08-24 06:51:42.871028,2026-07-06 17:25:11.475114,2,4,3,243,9,1,At Risk
C002012,Teresa,Fuller,kimberlyschmidt@example.net,Pune,Maharashtra,Budget,57,7,782371.1,2025-08-23 15:31:54.319143,2026-06-17 08:41:49.945099,2,1,3,213,6,1,At Risk
C005686,Brian,Sanchez,leerhonda@example.org,Kolkata,West Bengal,Regular,6,7,705115.35,2025-08-25 06:57:07.738277,2026-08-07 09:26:42.196021,5,1,3,513,9,0,Loyal Customers
C004479,Dennis,Martin,dharrison@example.com,Kolkata,West Bengal,Regular,22,8,781604.8,2025-08-28 03:27:21.724417,2026-07-22 01:41:38.172981,3,2,3,323,8,1,At Risk
C009041,Clinton,Peck,bryanrichards@example.org,Bangalore,Karnataka,Premium,10,10,857902.75,2025-08-28 20:53:18.991989,2026-08-03 05:40:03.564035,4,3,4,434,11,0,Loyal Customers
C000337,Jeffrey,Cannon,barbarafisher@example.com,Delhi,Delhi,Premium,22,11,1260965.55,2025-08-29 01:16:07.149671,2026-07-22 10:16:43.762037,3,3,5,335,11,3,Loyal Customers
C006786,Caitlin,Page,heatherhopkins@example.org,Kolkata,West Bengal,Premium,23,10,724364.0,2025-08-30 13:58:24.311043,2026-07-21 08:26:11.631716,3,3,3,333,9,1,At Risk
C007212,Carol,Nolan,hartjohn@example.org,Lucknow,Uttar Pradesh,Regular,4,15,884808.75,2025-09-01 01:53:23.204032,2026-08-09 17:35:49.977499,5,5,4,554,14,0,Loyal Customers
C004057,Jill,Strong,lanegabriel@example.net,Bhubaneswar,Odisha,Regular,65,6,875440.75,2025-09-01 11:36:48.514085,2026-06-09 16:07:19.780397,1,1,4,114,6,1,At Risk
C003333,James,Reid,hharrison@example.org,Mumbai,Maharashtra,Regular,10,10,1015527.35,2025-09-02 04:31:13.602736,2026-08-03 02:25:35.127351,4,3,4,434,11,0,Loyal Customers
C009217,Tyler,Johnson,ynelson@example.org,Delhi,Delhi,Regular,27,12,1099573.6,2025-09-02 19:35:16.065160,2026-07-17 06:45:41.715417,3,4,5,345,12,3,Loyal Customers
C005254,Jacqueline,Curtis,tmartin@example.com,Delhi,Delhi,Regular,53,10,991199.35,2025-09-04 05:03:04.789847,2026-06-21 00:07:22.372423,2,3,4,234,9,1,At Risk
C007838,Dawn,Jensen,david08@example.org,Hyderabad,Telangana,Regular,12,12,833346.75,2025-09-01 00:29:17.393573,2026-08-01 04:47:10.924309,4,4,3,443,11,3,Loyal Customers
C008554,Tiffany,Jackson,masseyjames@example.com,Delhi,Delhi,Regular,5,12,673773.0,2025-08-21 10:00:27.432274,2026-08-08 06:33:24.716047,5,4,2,542,11,0,Loyal Customers
C004072,Adam,Shaw,anita85@example.org,Bhubaneswar,Odisha,Regular,9,12,1079717.0,2025-09-08 15:50:12.474124,2026-08-04 16:21:27.372873,5,4,5,545,14,3,Loyal Customers
C005650,Katherine,Burns,frankalvarez@example.org,Lucknow,Uttar Pradesh,Regular,93,7,378357.15,2025-09-01 12:34:37.508775,2026-05-12 16:50:11.934119,1,1,1,111,3,2,At Risk
C005425,Alexander,Bush,hillamanda@example.net,Lucknow,Uttar Pradesh,Budget,9,10,779559.55,2025-09-08 21:42:21.805418,2026-08-04 01:43:41.726217,5,3,3,533,11,0,Loyal Customers
C002414,Patrick,Whitaker,urogers@example.org,Jaipur,Rajasthan,Regular,1,12,821971.5,2025-09-09 18:59:35.051750,2026-08-12 01:02:54.853748,5,4,3,543,12,0,Loyal Customers
C001470,Paul,Schaefer,wolfdaniel@example.org,Delhi,Delhi,Regular,16,13,1388847.85,2025-09-10 05:09:17.177571,2026-07-28 16:57:08.386283,4,4,5,445,13,3,Loyal Customers
C005600,Kimberly,Montgomery,courtneyhurst@example.com,Bhubaneswar,Odisha,Regular,4,22,1445686.25,2025-08-31 18:42:23.425434,2026-08-09 22:14:24.224642,5,5,5,555,15,3,Loyal Customers
C003497,Molly,Levy,bvelasquez@example.net,Mumbai,Maharashtra,Regular,9,13,1030097.1,2025-08-18 18:45:35.235352,2026-08-04 01:27:55.636756,5,4,4,544,13,3,Loyal Customers
C005792,Michael,Herrera,cory67@example.com,Hyderabad,Telangana,Regular,44,8,352063.1,2025-08-13 16:33:23.636036,2026-06-30 13:53:59.924399,2,2,1,221,5,2,At Risk
C002861,Kenneth,Peters,sergio54@example.net,Mumbai,Maharashtra,Regular,5,16,1494216.7,2025-09-09 03:24:00.410404,2026-08-08 17:19:54.383943,5,5,5,555,15,3,Loyal Customers
C009736,Lance,Grant,kristasalas@example.com,Hyderabad,Telangana,Premium,81,8,746183.6,2025-09-10 17:46:09.471694,2026-05-24 02:51:07.878678,1,2,3,123,6,1,At Risk
C009019,Matthew,Garcia,cisnerosdawn@example.com,Pune,Maharashtra,Regular,31,13,777334.2,2025-08-17 16:55:03.105031,2026-07-13 18:18:51.635316,3,4,3,343,10,3,Loyal Customers
C008991,Terri,Lopez,josephjimenez@example.org,Delhi,Delhi,Budget,8,8,799783.45,2025-09-11 05:56:44.950049,2026-08-05 21:47:29.392493,5,2,3,523,10,0,Loyal Customers
C001103,Michael,Davila,mwalker@example.net,Jaipur,Rajasthan,Regular,48,8,1154908.0,2025-08-25 03:26:53.212132,2026-06-26 09:30:33.750337,2,2,5,225,9,1,At Risk
C007002,Brandi,Johnson,trobinson@example.org,Lucknow,Uttar Pradesh,Regular,7,11,1183698.7,2025-09-11 12:36:12.549725,2026-08-06 08:39:14.423544,5,3,5,535,13,3,Loyal Customers
C005062,Tonya,Goodwin,zlynn@example.com,Bhubaneswar,Odisha,Regular,77,5,426892.2,2025-09-11 12:51:58.639186,2026-05-28 03:39:04.163441,1,1,1,111,3,2,At Risk
C007983,Aaron,Lee,ssmith@example.org,Mumbai,Maharashtra,Regular,35,9,676199.05,2025-08-17 14:06:51.484114,2026-07-09 03:50:58.698586,2,2,2,222,6,1,At Risk
C004567,Elizabeth,Jones,carolinemoore@example.net,Kolkata,West Bengal,Regular,8,15,1043158.65,2025-08-17 04:12:55.447754,2026-08-05 17:40:27.324273,5,5,4,554,14,3,Loyal Customers
C006582,Kathryn,Vargas,rsherman@example.com,Pune,Maharashtra,Regular,12,11,970113.2,2025-08-23 00:48:53.309333,2026-08-01 04:52:26.287462,4,3,4,434,11,3,Loyal Customers
C001617,Tyler,Jordan,morrisrebecca@example.org,Jaipur,Rajasthan,Regular,70,12,1102087.45,2025-09-12 07:47:17.080370,2026-06-04 07:26:11.307713,1,4,5,145,10,3,Loyal Customers
C009970,Sandra,Johnson,kennethhancock@example.org,Hyderabad,Telangana,Budget,1,13,573036.9,2025-09-08 04:00:38.448384,2026-08-12 23:38:58.547385,5,4,2,542,11,0,Loyal Customers
C002826,Alexander,Brown,wdyer@example.com,Jaipur,Rajasthan,Regular,17,10,552804.1,2025-09-13 14:32:09.547295,2026-07-27 13:47:45.808658,4,3,2,432,9,1,At Risk
C005373,Tyler,Valenzuela,lisa19@example.net,Chennai,Tamil Nadu,Premium,112,7,574875.65,2025-09-13 23:44:02.678426,2026-04-23 02:04:10.346503,1,1,2,112,4,1,At Risk
C003134,Heather,Williams,ashleymartin@example.org,Mumbai,Maharashtra,Premium,24,12,1165373.95,2025-09-12 04:06:31.827918,2026-07-20 09:18:35.759157,3,4,5,345,12,3,Loyal Customers
C006617,Chase,Pham,ameyers@example.net,Bhubaneswar,Odisha,Regular,13,12,714980.25,2025-08-13 20:14:08.888488,2026-07-31 13:22:07.009270,4,4,3,443,11,0,Loyal Customers
C003095,Rodney,Martinez,johnsoncatherine@example.org,Delhi,Delhi,Regular,57,11,841936.5,2025-09-16 01:39:59.675996,2026-06-17 20:15:37.881378,2,3,3,233,8,1,At Risk
C007131,Christina,Rosario,aanderson@example.com,Hyderabad,Telangana,Regular,38,9,803129.1,2025-08-31 13:32:16.999369,2026-07-06 19:15:34.101341,2,2,3,223,7,1,At Risk
C000026,Matthew,Ferguson,kimberly63@example.net,Chennai,Tamil Nadu,Budget,32,9,727413.75,2025-08-25 04:45:43.659436,2026-07-12 09:12:04.363243,3,2,3,323,8,1,At Risk
C000415,James,Hunter,zjohnson@example.com,Bhubaneswar,Odisha,Premium,24,14,1168205.15,2025-09-19 03:09:49.361893,2026-07-20 14:33:57.548375,3,5,5,355,13,3,Loyal Customers
C000072,Sherri,Herman,zamoraronald@example.com,Jaipur,Rajasthan,Budget,6,18,1577926.95,2025-08-29 22:54:21.848618,2026-08-07 05:30:10.854108,5,5,5,555,15,3,Loyal Customers
C009920,Sandra,Sharp,ianbird@example.com,Pune,Maharashtra,Premium,11,11,737394.0,2025-09-19 08:09:25.061650,2026-08-02 05:13:37.244172,4,3,3,433,10,0,Loyal Customers
C004407,Steven,Torres,davidfowler@example.org,Lucknow,Uttar Pradesh,Premium,31,10,998227.5,2025-08-20 10:47:36.196561,2026-07-13 16:33:44.372243,3,3,4,334,10,1,At Risk
